hdr1,phi_id
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190527
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190528
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190529
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190530
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190531
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190532
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Cos and Calymna (IG XII,4)",186279
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190533
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190534
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190535
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Cos and Calymna (IG XII,4)",186280
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190536
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Cos and Calymna (IG XII,4)",186281
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Cos and Calymna (IG XII,4)",186282
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Cos and Calymna (IG XII,4)",186283
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Cos and Calymna (IG XII,4)",186284
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Cos and Calymna (IG XII,4)",186285
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Cos and Calymna (IG XII,4)",186286
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Cos and Calymna (IG XII,4)",186287
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190537
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190538
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190539
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190540
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190541
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190542
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190543
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190544
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Doric Sporades (IG XII,3)",190545
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Doric Sporades (IG XII,3)",190546
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Doric Sporades (IG XII,3)",190547
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190550
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190551
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190552
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190553
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190554
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190555
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190556
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190557
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190558
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190559
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190560
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190561
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190562
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190563
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190565
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190566
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190567
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190568
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190569
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Cos and Calymna (IG XII,4)",186288
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Cos and Calymna (IG XII,4)",186289
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190570
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190571
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190572
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190573
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190574
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190575
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190576
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190577
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190578
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190579
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190580
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190581
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190582
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190583
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190584
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190585
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190586
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190587
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190588
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190589
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190590
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190591
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190592
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190593
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190594
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190595
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190596
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190597
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190598
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190599
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190600
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190601
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190602
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190603
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190604
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190605
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190606
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190607
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190608
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190609
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190610
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190611
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190612
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190613
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190614
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190615
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190616
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190617
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190618
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190619
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190620
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190621
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190622
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190623
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190624
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190625
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190626
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190627
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190628
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190629
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190630
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190631
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190632
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190633
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190634
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190635
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190636
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190637
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190638
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190639
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190640
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190641
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190642
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190643
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190644
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190645
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190646
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190647
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190648
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190649
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190650
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190651
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190652
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190653
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190654
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190655
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190656
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190657
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190658
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190659
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190660
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190661
RegionsAsia MinorLycia,283174
RegionsAsia MinorLycia,283310
RegionsAsia MinorLycia,283311
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190662
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190663
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190664
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190665
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190666
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190667
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190668
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190669
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190670
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190671
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190672
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190673
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190674
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Doric Sporades (IG XII,3)",190675
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Doric Sporades (IG XII,3)",190676
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Doric Sporades (IG XII,3)",190677
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Doric Sporades (IG XII,3)",190678
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Doric Sporades (IG XII,3)",190679
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Doric Sporades (IG XII,3)",190680
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Doric Sporades (IG XII,3)",190681
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Doric Sporades (IG XII,3)",190682
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Doric Sporades (IG XII,3)",190683
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190684
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190685
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190686
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190687
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190688
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190689
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Cos and Calymna (IG XII,4)",186290
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190690
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",190691
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Rhodes and S. Dodecanese (IG XII,1)",229502
RegionsAsia MinorLycia,283173
RegionsAsia MinorLycia,283175
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Cos and Calymna (IG XII,4)",186291
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Cos and Calymna (IG XII,4)",186292
"RegionsAegean Islands, incl. Crete (IG XI-[XIII])Cos and Calymna (IG XII,4)",186293
"RegionsCentral Greece (IG VII-IX)Thessaly (IG IX,2)",207498
"RegionsCentral Greece (IG VII-IX)Thessaly (IG IX,2)",207499
RegionsAttica (IG I-III)Attica,234352
"RegionsAsia MinorMysia [Kaïkos], Pergamon",317233
RegionsAsia MinorPhrygia,268877
RegionsAsia MinorPhrygia,268878
RegionsAsia MinorPhrygia,268879
RegionsAsia MinorPhrygia,268880
RegionsCentral Greece (IG VII-IX)Delphi,241138
RegionsCentral Greece (IG VII-IX)Delphi,241139
RegionsCentral Greece (IG VII-IX)Delphi,241140
RegionsCentral Greece (IG VII-IX)Delphi,241141
