"Id","Date","After","Before","Ancient","Modern","Material","Object Type","Inscription Type","Execution Type","Language","Museum","Status","Trismegistos","EDR","PHI","EDCS"
"ISic002865","1st century BCE (Brea thinks second
                                half, but this is circular arg. on basis of names)","-0100","-0001","Lipara","Lipari","
                                        volcanic (local)
                                    ","","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645259","","334796",""
"ISic002866","1st century BCE (Brea thinks second
                                half, but this is circular arg. on basis of names)","-0100","-0001","Lipara","Lipari","
                                        volcanic (local from Fuardo)
                                    ","","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645260","","334798",""
"ISic002867","1st century BCE (Brea thinks second
                                half, but this is circular arg. on basis of names)","-0100","-0001","Lipara","Lipari","
                                        volcanic (local from Fuadro)
                                    ","","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645261","","334541",""
"ISic002868","1st century BCE (Brea thinks second
                                half, but this is circular arg. on basis of names)","-0100","-0001","Lipara","Lipari","
                                        volcanic (local)
                                    ","","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645262","","334811",""
"ISic002869","1st century BCE (Brea thinks second
                                half, but this is circular arg. on basis of names)","-0100","-0001","Lipara","Lipari","
                                        volcanic (local)
                                    ","","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645263","","334557",""
"ISic002870","1st century BCE (Brea thinks second
                                half, but this is circular arg. on basis of names)","-0100","-0001","Lipara","Lipari","
                                        volcanic (local)
                                    ","","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645264","","334820",""
"ISic002871","1st century BCE (Brea thinks second
                                half, but this is circular arg. on basis of names)","-0100","-0001","Lipara","Lipari","
                                        volcanic (local)
                                    ","","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645265","","334821",""
"ISic002872","1st century BCE (Brea thinks second
                                half, but this is circular arg. on basis of names)","-0100","-0001","Lipara","Lipari","
                                        volcanic (local)
                                    ","","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645266","","334578",""
"ISic002873","1st century BCE (Brea thinks second
                                half, but this is circular arg. on basis of names)","-0100","-0001","Lipara","Lipari","
                                        volcanic (local, from Fuardo)
                                    ","","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645267","","334836",""
"ISic002874","1st century BCE (Brea thinks second
                                half, but this is circular arg. on basis of names)","-0100","-0001","Lipara","Lipari","
                                        volcanic (local)
                                    ","","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645268","","334599",""
"ISic002875","1st century BCE (Brea thinks second
                                half, but this is circular arg. on basis of names)","-0100","-0001","Lipara","Lipari","
                                        volcanic (local)
                                    ","","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645269","","334828",""
"ISic002876","5th century CE c. 470 CE, Manganaro","0401","0500","Lipara","Lipari","marble","plaque","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645270","","334897",""
"ISic002877","4th — 6th century CE","0301","0600","Syracusae","Siracusa","limestone","plaque","honorific; decree","chiselled","Ancient Greek","Museo Archeologico Regionale Paolo Orsi","draft","645271","","332711",""
"ISic002878","4th century CE or later","0301","0600","Acrillae","Chiaramonte Gulfi","limestone","plaque","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale di Kamarina","draft","645272","","178079","38000218"
"ISic002879","4th century CE","0301","0400","Philosophiana","","stone","","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale di Gela","unchecked","175858","","337234","64300052"
"ISic002880","2nd — 1st century BCE (?)","-0200","-0001","Lipara","Lipari","
                                        volcanic (local)
                                    ","","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645273","","334627",""
"ISic002881","1st century BCE (poss.
                                1st century CE)","-0100","0100","Lipara","Lipari","
                                        volcanic (local)
                                    ","","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645274","","334770",""
"ISic002882","1st century BCE (poss.
                                1st century CE)","-0100","0100","Lipara","Lipari","
                                        volcanic (local)
                                    ","","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645275","","334617",""
"ISic002883","1st century BCE — 1st century CE (Brea
                                uncertain, but prob. 'di eta seriore rispetto alla massa' inscr. gr.)","-0100","0100","Lipara","Lipari","
                                        volcanic (local)
                                    ","","funerary","chiselled","Latin","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645276","","334882",""
"ISic002884","1st century BCE — 1st century CE (Brea
                                uncertain, but prob. 'di eta seriore rispetto alla massa' inscr. gr.)","-0100","0100","Lipara","Lipari","
                                        volcanic (local)
                                    ","","funerary","chiselled","Latin","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645277","","334885",""
"ISic002885","1st century BCE — 1st century CE (Brea
                                uncertain, but prob. 'di eta seriore rispetto alla massa' inscr. gr.)","-0100","0100","Lipara","Lipari","
                                        volcanic (local, from Fuardo)
                                    ","stele","funerary","chiselled","Latin","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645278","","334884",""
"ISic002886","1st — 2nd century CE","0001","0200","Lipara","Lipari","marble","","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645279","","334814",""
"ISic002887","(?)","","","Lipara","Lipari","marble","","funerary","chiselled","Latin","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645280","","334892",""
"ISic002888","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","
                                        volcanic (local)
                                    ","stele","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645281","","334406",""
"ISic002889","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","
                                        volcanic (local)
                                    ","stele","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645282","","334407",""
"ISic002890","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","
                                        volcanic (local)
                                    ","","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645283","","334413",""
"ISic002891","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","
                                        volcanic (local: riolite grigia)
                                    ","stele","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645284","","334422",""
"ISic002892","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","
                                        volcanic (riolite leggera grigio-giallastra)
                                    ","stele","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645285","","334430",""
"ISic002893","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","
                                        volcanic (local, from Fuardo)
                                    ","stele","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645286","","334432",""
"ISic002894","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","
                                        volcanic (local, from Fuardo)
                                    ","","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645287","","334657",""
"ISic002895","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","volcanic (pietra di Serra)","stele","funerary","chiselled","Ancient Greek","Museo Archeologico Regionale Eoliano ""Luigi Bernabò Brea""","draft","645288","","334231",""
"ISic002896","3rd — 2nd century BCE","-0300","-0100","Lipara","Lipari","
                                        volcanic (local: pietra di Fuardo)
                                    ","stele","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645289","","334402",""
"ISic002897","1st century BCE","-0100","-0001","Lipara","Lipari","
                                        volcanic (local)
                                    ","","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645290","","334635",""
"ISic002898","1st century BCE","-0100","-0001","Lipara","Lipari","
                                        volcanic (local: riolite bianco-grigiastra)
                                    ","stele","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645291","","334641",""
"ISic002899","1st century BCE","-0100","-0001","Lipara","Lipari","
                                        volcanic (local: pietra di Fuardo)
                                    ","stele","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645292","","334645",""
"ISic002900","1st century BCE","-0100","-0001","Lipara","Lipari","
                                        volcanic (local: pietra lavica locale)
                                    ","stele","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645293","","334591",""
"ISic002901","1st century BCE","-0100","-0001","Lipara","Lipari","
                                        volcanic (local, from Fuardo)
                                    ","stele","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645294","","334655",""
"ISic002902","1st century BCE (?)","-0100","-0001","Lipara","Lipari","
                                        volcanic (local: trachite pomiciosa)
                                    ","stele","funerary","chiselled","Possibly Latin","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645295","","334693",""
"ISic002903","3rd — 1st century BCE (?)","-0300","-0001","Lipara","Lipari","
                                        volcanic (local, from Fuardo)
                                    ","stele","funerary","chiselled","Ancient Greek","Museo Archeologico
                            Regionale Eoliano ""Luigi Bernabò Brea""","unchecked","645296","","334726",""
"ISic002904","c. 350 CE (Gentili)","","","","Piazza Armerina","marble","","funerary","chiselled","Ancient Greek","in store","unchecked","645297","","330705","64800559"
"ISic002905","c. 300 CE (Manganaro)","","","","Piazza Armerina","marble","","funerary","chiselled","Ancient Greek","","unchecked","645298","","330707","64900603"
"ISic002906","1st — 3rd century CE (?) (roman, imperial, official, tending to the 'cursive'","0001","0300","","Piazza Armerina","marble","","funerary","chiselled","Latin","Museo Regionale
                            Archeologico Pietro Griffo","unchecked","645299","","","57100044"
"ISic002907","65/66 CE","0065","0066","","Piazza Armerina","marble","plaque","honorific","chiselled","Latin","Villa Romana del Casale","unchecked","645300","","",""
"ISic002908","209—212 CE","0200","0250","","Piazza Armerina","marble","plaque","honorific","chiselled","Latin","Villa Romana del Casale","unchecked","491415","","","37601047"
"ISic002909","1st — 2nd century CE","0001","0200","","Piazza Armerina","limestone","plaque","honorific; dedication","chiselled","Latin","Villa Romana del Casale","unchecked","491416","","","37601048"
"ISic002910","1st — 3rd century CE","0001","0300","","Piazza Armerina","marble","","unknown","chiselled","Latin","in store","unchecked","645301","","",""
"ISic002911","Severan (late 2nd — early 3rd century CE)","0101","0300","","Piazza Armerina","marble
                                    ","","dedication; honorific","chiselled","Latin","in store","unchecked","175820","074096","","13600405"
"ISic002912","1st — 3rd century CE (municipal mags., seviri)","0001","0300","","Piazza Armerina","marble","","building","chiselled","Latin","in store","unchecked","645302","","",""
"ISic002913","1st — 3rd century CE","0001","0300","","Piazza Armerina","marble","","building","chiselled","Latin","in store","unchecked","645303","","",""
"ISic002914","1st — 3rd century CE","0001","0300","","Piazza Armerina","marble","","unknown","chiselled","Latin","in store","unchecked","645304","","",""
"ISic002915","1st — 3rd century CE","0001","0300","","Piazza Armerina","marble
                                    ","","honorific","chiselled","Latin","in store","unchecked","491413 491414","","","37601045"
"ISic002916","4th — 6th century CE","0301","0600","Syracusae","Siracusa","marble","","funerary","chiselled","Latin","","draft","645305","","",""
"ISic002917","5th — 6th century CE","0401","0600","Syracusae","Siracusa","stone","","funerary","chiselled","Latin","","draft","645306","","",""
"ISic002918","5th — 6th century CE","0401","0600","Syracusae","Siracusa","stone","","funerary","chiselled","Ancient Greek","","draft","645307","","",""
"ISic002919","c. 550 CE","","","Syracusae","Siracusa","limestone","plaque","funerary","chiselled","Latin","Museo Archeologico
                            Regionale Paolo Orsi","draft","645308","","",""
"ISic002920","6th century CE (9th indiction)","0501","0600","Syracusae","Siracusa","marble","plaque","funerary","chiselled","Latin","Museo Archeologico Regionale Paolo Orsi","draft","645309","","",""
"ISic002921","6th century CE (after Agnello, Brea
                                and Manganaro)","0501","0600","Syracusae","Siracusa","limestone","","funerary","chiselled","Latin","","draft","175841","073826","","13900573"
